id,text,braille_brf
lu_0001,7/11/59,#g_/#aa_/#ei
lu_0002,7.11.59,#g4aa4ei
lu_0003,1960's,#aifj's
lu_0004,'70s and '80s,'#gjs & '#hjs
lu_0005,10:30 a.m.,#aj3#cj a4m4
lu_0006,10.30 am,#aj4cj am
lu_0007,$8.75,`s#h4ge
lu_0008,£8.75,`l#h4ge
lu_0009,"R8,75",",r#h1ge"
lu_0010,"$1,500.00",`s#a1ejj4jj
lu_0011,"€1.500,00",`e#a4ejj1jj
lu_0012,M4G 3E8,",m#d,g #c,e#h"
lu_0013,W1N 9LF,",w#a,n #i,,lf"
lu_0014,N12 7BT,",n#ab #g,,bt"
lu_0015,(416) 486-2500,"""<#daf""> #dhf-#bejj"
lu_0016,For a taxi call 13-cabs.,",= a taxi call #ac-cabs4"
lu_0017,telephone 1300-vision,"teleph""o #acjj-vi.n"
lu_0018,1-800-SLEEP88,"#a-#hjj-,,sleep#hh"
lu_0019,ISBN 0-14-300414-X,",,isbn #j-#ad-#cjjdad-;,x"
lu_0020,Section I. 1,",sec;n ,i4 #a"
lu_0021,Section I.1,",sec;n ,i4#a"
lu_0022,"Section I, 1",",sec;n ,i1 #a"
lu_0023,"Section I,1",",sec;n ,i1#a"
lu_0024,Section II. 2,",sec;n ,,ii4 #b"
lu_0025,Section III.2,",sec;n ,,iii4#b"
lu_0026,"Section II, 3",",sec;n ,,ii1 #c"
lu_0027,"Section III,3",",sec;n ,,iii1#c"
lu_0028,"(x, 4)","""<;x1 #d"">"
lu_0029,"(x,4)","""<x1#d"">"
lu_0030,ABC DEFG HIJ,",,,abc defg hij,'"
lu_0031,ABC 456G HIJ,",,,abc #def;g hij,'"
lu_0032,ABC 45FG HIJ,",,,abc #de;fg hij,'"
lu_0033,ABC 4EFG HIJ,",,,abc #d;efg hij,'"
lu_0034,AB123456G DWP CR,",,,ab#abcdef;g dwp cr,'"
lu_0035,B.C.,",b4,c4"
lu_0036,Hush. Keep Quiet!,",hu%4 ,keep ,quiet6"
lu_0037,C. O. Linkletter,";,c4 ,o4 ,l9klett}"
lu_0038,M MacPherson and O O'Hara,";,m ,mac,ph}son & ,o ,o',h>a"
lu_0039,'Twas Dr. Hamilton-Hall.,"',twas ,dr4 ,hamilton-,hall4"
lu_0040,Father Edmond Anderson,",""f ,$mond ,&}son"
lu_0041,"Today, Mr Will Just visited us.",",td1 ,mr ,w ,j visit$ u4"
lu_0042,His name is Thomas.,",8 ""n is ,?omas4"
lu_0043,Étude,",~/etude"
lu_0044,Voyage À Nice,",voyage ,~*a ,nice"
lu_0045,PARLIAMENT,",,p>lia;t"
lu_0046,FRANÇOIS,",,fran~&cois"
lu_0047,DipTP,",dip,,tp"
lu_0048,"""GO quickly and TAKE CARE!""","8,,g qkly & ,,take ,,c>e60"
lu_0049,ANGLO-SAXON,",,anglo-,,saxon"
lu_0050,McGRAW-HILL,",mc,,graw-,,hill"
lu_0051,MERRY-GO-ROUND,",,m}ry-,,g-,,r.d"
lu_0052,UPPERCASE-lowercase,",,upp}case-l{}case"
lu_0053,LITTLE-RED-RIDING-HOOD-type tales,",,ll-,,r$-,,rid+-,,hood-type tales"
lu_0054,The d'ARTAGNAN Romances,",! d',,>tagnan ,rom.es"
lu_0055,O'SULLIVAN,",o',,sullivan"
lu_0056,DON'T,",,don',t"
lu_0057,THAT'S,",,t',s"
lu_0058,SHE'LL,",,%e',,ll"
lu_0059,JACK'S FO'C'S'LE,",,jack',s ,,fo',c',s',,le"
lu_0060,WELCOME TO McDONALD'S,",,welcome ,,to ,mc,,donald',s"
lu_0061,OK'd,",,ok'd"
lu_0062,RSVP or R.S.V.P.,",,rsvp or ,r4,s4,v4,p4"
lu_0063,HOTELS.COM,",,hotels4,,com"
lu_0064,The N.A.S.D.A.Q. News,",! ,n4,a4,s4,d4,a4,q4 ,news"
lu_0065,BA(Oxon),",,ba""<,oxon"">"
lu_0066,(R)AC,"""<,r"">,,ac"
lu_0067,WIND(ward),",,w9d""<w>d"">"
lu_0068,AT&T,",,at`&,t"
lu_0069,McDONALD@xyz.com,",mc,,donald`axyz4com"
lu_0070,SWIFT & CO.,",,swift `& ,,co4"
lu_0071,CAUTION: WET PAINT!,",,,cau;n3 wet pa9t6,'"
lu_0072,Please KEEP OFF THE GRASS in this area.,",pl1se ,,,keep (f ! grass,' 9 ? >ea4"
lu_0073,THE BBC AFRICA NEWS,",,,! bbc africa news,'"
lu_0074,PROUD TO BE A ΦΒΚ,",,,pr|d to 2 a .f.b.k,'"
lu_0075,FOR SALE: 1975 FIREBIRD,",,,= sale3 #aige firebird,'"
lu_0076,A SELF-MADE MAN,",,,a self-made man,'"
lu_0077,A.A. (ALAN ALEXANDER) MILNE,",,,a4a4 ""<alan alex&}""> milne,'"
lu_0078,STOP RUNNING NOW! It's dangerous.,",,,/op runn+ n{6,' ,x's dang}|s4"
lu_0079,IT'S A HOAX! (APRIL FOOL!),",,,x's a hoax6 ""<april fool6"">,'"
lu_0080,ABCs,",,abc,'s"
lu_0081,WASPs,",,wasp,'s"
lu_0082,WALKing,",,walk,'+"
lu_0083,unSELFish,"un,,self,'i%"
lu_0084,XXIInd,",,xxii,'nd"
lu_0085,VIIb,",,vii,'b"
lu_0086,The two CEOs met in our CEO's office.,",! two ,,ceo,'s met 9 |r ,,ceo's (fice4"
lu_0087,"""So?""","8,s80"
lu_0088,(July),"""<,july"">"
lu_0089,'TIS,"',,tis"
lu_0090,"""SHHHH!""","8,,%hhh60"
lu_0091,Hippity-HOP,",hipp;y-,,hop"
lu_0092,ÉTUDE,",,~/etude"
lu_0093,Unified English Braille (UEB),",unifi$ ,5gli% ,brl ""<,,ueb"">"
lu_0094,AC SMITH,";,,ac ,,smi?"
lu_0095,V-NECK SWEATERS FOR SALE!,";,,,v-neck sw1t}s = sale6,'"
lu_0096,XI XIth,",,xi ,,xi,'?"
lu_0097,XXXI XXXIst,",,xxxi ,,xxxi,'/"
lu_0098,OK OKd,",,ok ,,ok,'d"
lu_0099,CD CDs,";,,cd ,,cd,'s"
lu_0100,RV: Recreational Vehicle–Let's go RVing.,",,rv3 ,recr1;nal ,vehicle,-,let's g ,,rv,'+4"
lu_0101,www.BLASTsoundmachine.com,"www4,,bla/,'s.dma*9e4com"
lu_0102,preSENT,"pre,,s5t"
lu_0103,PRESent,",,pres,'5t"
lu_0104,WoooooooOOOOOOOOooooooo (a ghostly sound),",wooooooo,,oooooooo,'ooooooo ""<a <o/ly s.d"">"
lu_0105,When will Will meet us?,",:5 w ,w meet u8"
lu_0106,Every child from here knows Mr More.,",e * f ""h ""ks ,mr ,m4"
lu_0107,"""do re mi fa so""",8d re mi fa s0
lu_0108,That is quite fair and very just.,",t is q fair & v j4"
lu_0109,"""People, people who need people""","8,p1 p :o ne$ p0"
lu_0110,I do not like that watering-can!,",i d n l t wat}+-c6"
lu_0111,"But, would the people rather do the can-can for us?",",b1 wd ! p r d ! c-c = u8"
lu_0112,"""You so-and-so–go away!""","8,y s-&-s,-g away60"
lu_0113,"""I do have some–but I would like more!""","8,i d h ""s,-b ,i wd l m60"
lu_0114,last will and testament,la/ w & te/a;t
lu_0115,a child-like manner,a *-l mann}
lu_0116,will-o'-the-wisp,w-o'-!-wisp
lu_0117,"""Do-It-Yourself""","8,d-,x-,yrf0"
lu_0118,come from–not go to,"come f,-n g to"
lu_0119,(just say so),"""<j say s"">"
lu_0120,As You Like It,",z ,y ,l ,x"
lu_0121,likes and dislikes,likes & 4likes
lu_0122,childlike and likeness,*ildlike & like;s
lu_0123,moreover and evermore,"moreov} & ""emore"
lu_0124,"""but, no buts""",8b1 no buts0
lu_0125,peoples,peoples
lu_0126,quite/very,quite_/v}y
lu_0127,d'you,d'y|
lu_0128,t'do,t'do
lu_0129,t'have,t'have
lu_0130,it'd,x'd
lu_0131,you'd,y'd
lu_0132,it'll,x'll
lu_0133,that'll,t'll
lu_0134,you'll,y'll
lu_0135,you're,y're
lu_0136,people's,p's
lu_0137,so's,s's
lu_0138,you's,y's
lu_0139,can't,c't
lu_0140,you've,y've
lu_0141,Thomas More's life,",?omas ,m's life"
lu_0142,Mr Just's house,",mr ,j's h|se"
lu_0143,I can–you can't!,",i c,-y c't6"
lu_0144,"""You've done it!""","8,y've d""o x60"
lu_0145,more'n,more'n
lu_0146,you'm,y|'m
lu_0147,CAN Network,",,c ,net""w"
lu_0148,GO Train,",,g ,tra9"
lu_0149,Which CHILD-PROOF lock?,",: ,,*-,,pro( lock8"
lu_0150,still-life and whiskey-still,/-life & :iskey-/
lu_0151,(This way out!),"""<,? way |6"">"
lu_0152,"""Which way out?""","8,: way |80"
lu_0153,childish,*ildi%
lu_0154,grandchild,gr&*ild
lu_0155,outcome,|tcome
lu_0156,without,)|t
lu_0157,shallot,%allot
lu_0158,shallow,%all{
