id,category,translation_status,decode_sim,trans_sim,trans_chrf,braille_sim
en_001,basic,ok,1.000000,1.000000,1.000000,1.000000
en_002,basic,ok,1.000000,0.642857,0.436255,0.633333
en_003,basic,ok,1.000000,0.818182,0.731249,0.826087
en_004,basic,ok,1.000000,1.000000,1.000000,1.000000
en_005,basic,ok,1.000000,0.687500,0.359196,0.696970
en_006,basic,ok,1.000000,0.315789,0.137525,0.439024
en_007,number,ok,1.000000,0.264706,0.757490,0.290323
en_008,number,ok,1.000000,0.400000,0.363878,0.491803
en_009,number,ok,1.000000,0.791667,0.672366,0.844444
en_010,number,ok,1.000000,0.931034,0.844986,0.938776
en_011,number,ok,1.000000,0.600000,0.452884,0.569231
en_012,number,ok,1.000000,0.533333,0.306238,0.600000
en_013,number,ok,1.000000,1.000000,1.000000,1.000000
en_014,list,ok,1.000000,0.400000,0.439283,0.327586
en_015,list,ok,1.000000,0.729167,0.583690,0.764706
en_016,list,ok,1.000000,0.361702,0.170239,0.303371
en_017,list,ok,1.000000,0.500000,0.274911,0.563830
en_018,list,ok,1.000000,0.800000,0.617419,0.736111
en_019,quote,ok,1.000000,0.250000,0.299502,0.234043
en_020,quote,ok,1.000000,0.456522,0.427319,0.548780
en_021,quote,ok,1.000000,0.424242,0.437186,0.415385
en_022,quote,ok,1.000000,0.958333,0.888776,0.936170
en_023,quote,ok,1.000000,0.548387,0.540951,0.571429
en_024,math,ok,1.000000,0.655172,0.378537,0.690909
en_025,math,ok,1.000000,0.720000,0.489321,0.679245
en_026,math,ok,1.000000,0.461538,0.200689,0.434783
en_027,math,ok,1.000000,1.000000,1.000000,1.000000
en_028,math,ok,1.000000,0.741935,0.600432,0.725490
en_029,math,ok,1.000000,0.333333,0.347034,0.333333
en_030,domain,ok,1.000000,0.382353,0.182550,0.439394
en_031,domain,ok,1.000000,0.760000,0.699098,0.686275
en_032,domain,ok,1.000000,0.870968,0.778396,0.859375
en_033,domain,ok,1.000000,0.696970,0.466896,0.636364
en_034,domain,ok,1.000000,0.793103,0.590555,0.775862
en_035,domain,ok,1.000000,0.718750,0.500589,0.791667
en_036,domain,ok,1.000000,1.000000,1.000000,1.000000
en_037,domain,ok,1.000000,1.000000,1.000000,1.000000
en_038,domain,ok,1.000000,1.000000,1.000000,1.000000
en_039,domain,ok,1.000000,0.710526,0.647246,0.775000
en_040,basic,ok,1.000000,0.722222,0.320162,0.763158
en_041,basic,ok,1.000000,0.520000,0.488342,0.500000
en_042,basic,ok,1.000000,0.885714,0.891007,0.855263
en_043,number,ok,1.000000,0.787879,0.620274,0.721311
en_044,number,ok,1.000000,0.440000,0.511805,0.461538
en_045,list,ok,1.000000,0.878049,0.729611,0.864198
