group,rows,avg_edit,avg_chrf,fails
overall,300,0.993945,0.989651,49
sec-1,15,0.966564,0.943336,8
sec-2,26,0.999943,0.999894,1
sec-3,21,0.965761,0.944381,9
sec-4,22,1.000000,1.000000,0
sec-5,19,1.000000,1.000000,0
sec-6,19,0.994509,0.989704,11
sec-7,12,0.999731,0.999392,1
sec-8,22,0.996206,0.993119,2
sec-9,20,0.993066,0.988854,4
sec-10,18,1.000000,1.000000,0
sec-11,7,0.994446,0.989604,7
sec-12,20,0.999170,0.998148,1
sec-13,23,0.998537,0.994702,2
sec-14,19,0.997230,0.994784,1
sec-15,19,1.000000,1.000000,0
sec-16,18,0.993164,0.990228,2
