group,rows,avg_edit,avg_chrf,fails
overall,300,0.994635,0.991102,46
sec-1,15,0.971469,0.953692,6
sec-2,26,1.000000,1.000000,0
sec-3,21,0.969942,0.953490,7
sec-4,22,1.000000,1.000000,0
sec-5,19,1.000000,1.000000,0
sec-6,19,0.994509,0.989704,11
sec-7,12,0.999731,0.999392,1
sec-8,22,0.996628,0.994138,2
sec-9,20,0.992563,0.987887,6
sec-10,18,1.000000,1.000000,0
sec-11,7,0.994446,0.989604,7
sec-12,20,0.998793,0.997327,2
sec-13,23,0.998537,0.994702,2
sec-14,19,1.000000,1.000000,0
sec-15,19,1.000000,1.000000,0
sec-16,18,0.993164,0.990228,2
