code,ko_text,ko_braille,braille_chars,frequency
H200,불안정한 폭발성 물질,⠴⠠⠓⠼⠃⠚⠚⠀⠐⠂⠀⠘⠍⠂⠛⠣⠒⠨⠎⠶⠚⠣⠒⠀⠙⠥⠁⠘⠣⠂⠠⠎⠶⠀⠑⠍⠂⠨⠕⠂,40,8
H201,폭발성 물질:대폭발 위험,⠴⠠⠓⠼⠃⠚⠁⠀⠐⠂⠀⠙⠥⠁⠘⠣⠂⠠⠎⠶⠀⠑⠍⠂⠨⠕⠂⠐⠂⠊⠗⠙⠥⠁⠘⠣⠂⠀⠛⠍⠗⠚⠎⠢,44,47
H202,폭발성 물질:심한 분출 위험,⠴⠠⠓⠼⠃⠚⠃⠀⠐⠂⠀⠙⠥⠁⠘⠣⠂⠠⠎⠶⠀⠑⠍⠂⠨⠕⠂⠐⠂⠠⠕⠢⠚⠣⠒⠀⠘⠍⠒⠰⠍⠂⠀⠛⠍⠗⠚⠎⠢,49,1
H203,"폭발성 물질:화재,폭풍 또는 분출 위험",⠴⠠⠓⠼⠃⠚⠉⠀⠐⠂⠀⠙⠥⠁⠘⠣⠂⠠⠎⠶⠀⠑⠍⠂⠨⠕⠂⠐⠂⠚⠧⠨⠗⠐⠙⠥⠁⠙⠍⠶⠀⠠⠊⠥⠉⠪⠒⠀⠘⠍⠒⠰⠍⠂⠀⠛⠍⠗⠚⠎⠢,61,14
H204,화재 또는 분출 위험,⠴⠠⠓⠼⠃⠚⠙⠀⠐⠂⠀⠚⠧⠨⠗⠀⠠⠊⠥⠉⠪⠒⠀⠘⠍⠒⠰⠍⠂⠀⠛⠍⠗⠚⠎⠢,36,2
H220,극인화성 가스,⠴⠠⠓⠼⠃⠃⠚⠀⠐⠂⠀⠈⠪⠁⠛⠕⠒⠚⠧⠠⠎⠶⠀⠈⠣⠠⠪,27,217
H222,극인화성 에어로졸,⠴⠠⠓⠼⠃⠃⠃⠀⠐⠂⠀⠈⠪⠁⠛⠕⠒⠚⠧⠠⠎⠶⠀⠛⠝⠛⠎⠐⠥⠨⠥⠂,32,2
H224,극인화성 액체 및 증기,⠴⠠⠓⠼⠃⠃⠙⠀⠐⠂⠀⠈⠪⠁⠛⠕⠒⠚⠧⠠⠎⠶⠀⠛⠗⠁⠰⠝⠀⠑⠕⠆⠀⠨⠪⠶⠈⠕,38,106
H225,고인화성 액체 및 증기,⠴⠠⠓⠼⠃⠃⠑⠀⠐⠂⠀⠈⠥⠛⠕⠒⠚⠧⠠⠎⠶⠀⠛⠗⠁⠰⠝⠀⠑⠕⠆⠀⠨⠪⠶⠈⠕,37,592
H226,인화성 액체 및 증기,⠴⠠⠓⠼⠃⠃⠋⠀⠐⠂⠀⠛⠕⠒⠚⠧⠠⠎⠶⠀⠛⠗⠁⠰⠝⠀⠑⠕⠆⠀⠨⠪⠶⠈⠕,35,824
H227,가연성 액체,⠴⠠⠓⠼⠃⠃⠛⠀⠐⠂⠀⠈⠣⠛⠱⠒⠠⠎⠶⠀⠛⠗⠁⠰⠝,25,200
