chem_id,name,ko_text_chars,ko_braille_chars,sections_available
001008,벤젠,10354,18452,16
001400,황산 란타넘(황산 란탄)(LANTHANUM SULFATE),3784,7267,15
000387,벤젠아세토니트릴,6621,12088,16
004632,황산 납,5486,10467,16
018519,니트로벤젠,7771,13790,15
001664,프로필벤젠,9259,15131,16
002067,브로모벤젠,7895,14641,16
001089,에틸벤젠,10397,18692,16
001730,데실벤젠,6296,11930,16
001717,뷰틸 벤젠,10086,16354,16
009830,플루오로벤젠,7620,14130,16
001033,클로로벤젠,8348,15252,16
003036,도데실벤젠,6645,12445,16
000879,디니트로 벤젠,9333,15287,16
043938,Tridecylbenzene,5055,9548,16
010807,이소부틸벤젠,6339,11856,16
010803,n-펜틸벤젠,3298,5963,13
432389,bromobenzene-D5,3946,7673,12
000552,디비닐 벤젠,7435,13967,16
006753,디에틸 벤젠,6023,11381,16
017290,헥사브로모벤젠,9527,14978,16
003877,sec-뷰틸벤젠,5772,10858,16
352787,o-디에틸벤젠,6503,12286,16
354094,octadecylbenzene,5047,9503,16
025825,M-diethylbenzene,7353,13575,16
043881,트리클로로벤젠,4903,8955,15
001082,o-디클로로벤젠,9011,16404,16
018456,삼차-뷰틸벤젠,7640,14090,16
000236,파라-디클로로벤젠,6924,12315,16
002643,헥사클로로벤젠,6339,11648,16
003885,다이아조아미노벤젠,9618,15481,16
008861,오르토-디플루오로벤젠,6704,12512,16
365485,메타-이플루오로벤젠,4388,7999,15
009266,헥사플루오로벤젠,8702,14774,16
010836,파라-디플루오로벤젠,5848,10848,15
043497,Tetradecylbenzene,4888,9176,16
049522,Cyclohexylbenzene,6013,10901,16
039492,Pentadecylbenzene,5163,9703,16
000885,트리메틸 벤젠,6574,12550,16
046053,o-디비닐 벤젠,3218,6368,12
018572,"1,3-디니트로벤젠",8688,15773,16
001216,"1,4-디니트로벤젠",6268,11250,16
001758,"1,4-디에틸벤젠",6750,12813,16
026835,p-Dinitrosobenzene,4894,9167,16
046052,p-디비닐 벤젠,3667,6825,13
002027,m-다이브로모벤젠,3397,6067,14
008809,펜타플루오로벤젠,9214,15225,16
000439,"1,2-디니트로벤젠",7226,12376,16
011892,요오드벤젠(IODOBENZENE),7344,11357,16
012285,Pentachlorobenzene,6528,11807,16
397307,tert-pentylbenzene,4011,6783,11
038157,노닐벤젠,3683,6420,13
018462,벤젠술폰 산,4078,7641,15
018455,벤젠알소닉 산,3308,6120,16
000882,클로로메틸벤젠,4860,9259,15
018461,벤젠설폰아마이드,4262,8008,16
001112,디하이드록시벤젠,8418,15120,16
000517,디메틸아미노벤젠,7357,13508,15
012104,p-아미노아조벤젠,5137,9154,14
000167,2-클로로벤젠아민,6452,11820,16
018310,(에폭시에틸)벤젠,6364,11314,14
001696,p-초산니트로벤젠,6258,10947,15
018460,벤젠설포닐 염화물,6712,12771,16
001851,파라-디브로모벤젠,4630,8675,16
001853,4-브로모벤젠아민,5322,10091,16
003542,nitrotoluene,5929,10943,16
001032,톨루엔,9895,17856,16
000877,비닐 톨루엔,9409,17579,16
000139,o-니트로톨루엔,8181,14329,16
018251,2-브로모톨루엔,6662,12576,16
000195,m-니트로톨루엔,7070,12682,16
000197,p-니트로톨루엔,7231,12688,16
047527,3-Bromotoluene,8093,13083,16
001131,디니트로톨루엔,8035,14193,16
000884,톨루엔다이아민,6991,12991,16
000166,오쏘-클로로톨루엔,8697,15592,16
018258,오쏘-플루오로톨루엔,3541,6334,14
000234,p-클로로톨루엔,4683,8343,16
002031,3-Chlorotoluene,5926,10964,16
008617,p-플루오로톨루엔,6683,12524,16
012347,2-비닐 톨루엔,7025,13204,16
018590,4-아이소프로필톨루엔,11003,17808,16
000346,"2,4-디니트로톨루엔",6670,11891,16
000476,"2,3-디니트로톨루엔",6765,12207,14
000479,"2,6-디니트로톨루엔",5733,10208,14
046043,"3,5-디니트로톨루엔",5241,9494,14
000481,"3,4-디니트로톨루엔",6347,11448,14
046044,"2,5-디니트로톨루엔",5538,10283,15
049439,"3,5-Dibromotoluene",5470,9985,16
005742,톨루엔-D8(TOLUENE-D8),11413,19865,16
018272,"톨루엔-2,5-다이아민",4296,7745,13
018277,"2,4-디클로로톨루엔",6103,11413,16
000188,파라-삼차-부틸톨루엔,9109,16513,16
316429,"2,6-디클로로톨루엔",6070,11275,16
016770,"톨루엔-2,6-디아민",7373,11196,14
000600,"Toluene-2,3-diamine",3862,7305,13
026096,"2,3-Dihydroxytoluene",7146,11469,15
258137,4-mesyl-2-nitrotoluene,6338,11368,16
365369,2-클로로-6-니트로톨루엔,6069,11183,16
014820,파라-톨루엔설폰아마이드,10107,15616,16
