name,cas,en_chars,en_braille_chars,decode_sim,ko_chars,ko_braille_chars
Acetaldehyde,75-07-0,210,248,0.9905,134,228
Acetic acid,64-19-7,234,274,0.9957,147,243
Acetone,67-64-1,231,278,0.987,157,251
Acetonitrile,75-05-8,229,270,0.9956,144,241
Ammonia,7664-41-7,213,247,0.9953,136,225
Benzene,71-43-2,247,292,0.9919,152,253
"1,3-Butadiene",106-99-0,241,293,0.9917,155,256
Carbon dioxide,124-38-9,230,264,0.9957,133,225
Carbon monoxide,630-08-0,217,253,0.9954,131,221
Chlorine,7782-50-5,223,257,0.9865,136,230
Chloroform,67-66-3,242,284,0.9793,154,261
Chromium (VI) compounds,7440-47-3,261,302,0.977,161,268
Cyclohexane,110-82-7,213,253,0.9953,141,229
Ethanol,64-17-5,246,292,0.9878,156,254
Ethylene oxide,75-21-8,283,326,0.9859,160,282
Formaldehyde,50-00-0,224,264,0.9911,143,240
Glutaraldehyde,111-30-8,235,279,0.9872,148,256
n-Hexane,110-54-3,232,285,0.9871,160,247
Hydrochloric acid,7647-01-0,237,274,0.9873,141,235
Hydrogen cyanide,74-90-8,231,269,0.987,156,241
Hydrogen fluoride,7664-39-3,235,271,0.9957,144,241
Hydrogen peroxide,7722-84-1,238,275,0.9958,143,246
Hydrogen sulfide,7783-06-4,239,278,0.9833,142,240
Isopropyl alcohol,67-63-0,227,272,0.9868,150,238
Lead,7439-92-1,214,251,0.9907,134,230
Mercury (organo) compounds,7439-97-6,243,284,0.9753,151,251
Methanol,67-56-1,213,257,0.9953,139,229
Methylene chloride,75-09-2,247,293,0.9919,154,256
Nickel compounds,7440-02-0,208,242,0.9808,127,220
Nitric acid,7697-37-2,229,267,0.9956,143,236
Nitrogen dioxide,10102-44-0,249,284,0.988,139,244
Ozone,10028-15-6,192,225,0.9948,117,196
Phenol,108-95-2,218,258,0.9954,143,240
Phosgene,75-44-5,246,281,0.9959,145,254
Phosphoric acid,7664-38-2,234,272,0.9915,139,236
Silica (crystalline quartz),14808-60-7,237,272,0.9831,144,252
Sodium hydroxide,1310-73-2,239,275,0.9916,144,250
Styrene,100-42-5,293,344,1.0,178,297
Sulfuric acid,7664-93-9,244,283,0.9918,146,249
Tetrachloroethylene,127-18-4,304,352,0.9934,188,312
Toluene,108-88-3,257,302,1.0,165,267
Trichloroethylene,79-01-6,309,356,0.9935,192,318
Vinyl chloride,75-01-4,268,313,0.9925,157,276
"Xylene (o-, m-, p-isomers)",1330-20-7,274,320,0.9964,179,291
Arsenic (inorganic compounds),7440-38-2,242,276,0.9835,142,243
Asbestos (all forms),1332-21-4,201,233,0.9801,119,212
Cadmium compounds,7440-43-9,229,263,0.9825,138,244
"Cobalt metal, dust, and fume",7440-48-4,207,239,0.9903,128,220
Epichlorohydrin,106-89-8,273,316,0.9817,159,273
Ethyl acetate,141-78-6,216,263,0.9861,147,230
Ethylene glycol,107-21-1,254,300,0.9921,160,283
Methyl ethyl ketone (MEK),78-93-3,231,281,0.9957,152,243
Acrylamide,79-06-1,225,275,0.9733,153,253
Acrylonitrile,107-13-1,263,308,0.9848,158,270
Beryllium compounds,7440-41-7,218,252,0.9817,132,229
Diisocyanates (TDI),26471-62-5,246,294,0.9878,158,262
Dimethyl sulfoxide (DMSO),67-68-5,224,265,1.0,146,260
Methyl methacrylate,80-62-6,225,270,0.9956,147,239
Carbon tetrachloride,56-23-5,277,318,0.9928,173,288
Methyl chloride,74-87-3,262,303,1.0,160,264
Acrolein,107-02-8,226,266,0.9956,148,252
Aniline,62-53-3,242,285,0.9876,145,248
Bromine,7726-95-6,225,262,0.9956,146,245
Diethyl ether,60-29-7,218,264,0.9862,147,230
Ethylene dichloride,107-06-2,306,356,0.9935,185,312
Fluorine,7782-41-4,237,270,0.9958,146,250
Manganese compounds,7439-96-5,222,258,0.982,132,228
Nitrous oxide,10024-97-2,207,242,1.0,126,229
Propylene oxide,75-56-9,234,279,0.9872,149,249
Zinc oxide,1314-13-2,210,245,0.9857,131,220
Copper (dusts and mists),7440-50-8,263,296,0.9924,145,252
Iron oxide (fume),1309-37-1,194,230,0.9897,119,206
Aluminum (dust),7429-90-5,212,245,0.9906,131,227
