id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
bf_001,braille_corruption,0.8696,0.8696,0.0,0.6652,0.6652,0.0
bf_002,braille_corruption,0.9429,0.9314,-0.0114,0.8419,0.8312,-0.0107
bf_003,braille_corruption,0.9565,0.9565,0.0,0.8554,0.8554,0.0
bf_004,braille_corruption,0.958,0.958,0.0,0.8611,0.8611,0.0
bf_005,braille_corruption,0.9333,0.9167,-0.0167,0.7792,0.7198,-0.0594
bf_006,braille_corruption,0.96,0.9467,-0.0133,0.8909,0.8907,-0.0002
bf_007,braille_corruption,0.8974,0.8974,0.0,0.7099,0.7099,0.0
bf_008,braille_corruption,0.949,0.9286,-0.0204,0.8451,0.8346,-0.0106
bf_009,braille_corruption,0.9338,0.9272,-0.0066,0.8,0.7898,-0.0102
bf_010,braille_corruption,0.8889,0.8727,-0.0162,0.7467,0.7438,-0.0029
bf_011,braille_corruption,0.9579,0.9632,0.0053,0.8823,0.9011,0.0187
bf_012,braille_corruption,0.9048,0.881,-0.0238,0.7039,0.6938,-0.0101
bf_013,braille_corruption,0.9405,0.9405,0.0,0.8096,0.8181,0.0085
bf_014,braille_corruption,0.9596,0.9495,-0.0101,0.8872,0.8785,-0.0087
bf_015,braille_corruption,0.9333,0.913,-0.0203,0.7638,0.7602,-0.0036
bf_016,braille_corruption,0.9796,0.9796,0.0,0.928,0.928,0.0
bf_017,braille_corruption,0.8875,0.8875,0.0,0.7143,0.7143,0.0
bf_018,braille_corruption,0.9714,0.981,0.0095,0.9268,0.9348,0.008
bf_019,braille_corruption,0.9706,0.9706,0.0,0.9102,0.9227,0.0125
bf_020,braille_corruption,0.9618,0.9618,0.0,0.8656,0.8709,0.0054
bf_021,braille_corruption,0.9429,0.9429,0.0,0.8197,0.8197,0.0
bf_022,braille_corruption,0.9506,0.9506,0.0,0.8239,0.8239,0.0
bf_023,braille_corruption,0.925,0.95,0.025,0.7947,0.8175,0.0227
bf_024,braille_corruption,0.9369,0.9324,-0.0045,0.8002,0.804,0.0039
bf_025,braille_corruption,0.9398,0.9277,-0.012,0.8265,0.8265,-0.0
bf_026,braille_corruption,0.9531,0.9531,0.0,0.866,0.866,0.0
bf_027,braille_corruption,0.9043,0.9149,0.0106,0.7622,0.7642,0.0019
bf_028,braille_corruption,0.93,0.91,-0.02,0.7773,0.7583,-0.019
