id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
nc_001,missing_punctuation,0.9615,0.9615,0.0,0.9655,0.9655,0.0
nc_002,missing_punctuation,0.9697,0.9697,0.0,0.9735,0.9735,0.0
nc_003,missing_punctuation,0.84,0.84,0.0,0.69,0.69,0.0
nc_004,missing_punctuation,0.9,0.9,0.0,0.6931,0.6931,0.0
nc_005,missing_punctuation,0.9773,0.9773,0.0,0.9806,0.9806,0.0
nc_006,merged_words,0.98,0.98,0.0,0.9288,0.9288,0.0
nc_007,merged_words,0.9677,0.9677,0.0,0.8984,0.8984,0.0
nc_008,merged_words,0.9535,0.9535,0.0,0.8315,0.8315,0.0
nc_009,merged_words,0.9574,0.9574,0.0,0.8471,0.8471,0.0
nc_010,merged_words,0.9487,0.9487,0.0,0.8172,0.8172,0.0
nc_011,split_words,0.9574,0.9574,0.0,0.8707,0.8707,0.0
nc_012,split_words,0.9302,0.9302,0.0,0.7856,0.7856,0.0
nc_013,split_words,0.9302,0.9302,0.0,0.7809,0.7809,0.0
nc_014,split_words,0.9318,0.9318,0.0,0.7867,0.7867,0.0
nc_015,split_words,0.9459,0.9459,0.0,0.83,0.83,0.0
nc_016,spelling_variation,0.9459,1.0,0.0541,0.8258,1.0,0.1742
nc_017,spelling_variation,0.925,1.0,0.075,0.7476,1.0,0.2524
nc_018,spelling_variation,0.9167,1.0,0.0833,0.8091,1.0,0.1909
nc_019,spelling_variation,0.8864,1.0,0.1136,0.7322,1.0,0.2678
nc_020,spelling_variation,0.9048,1.0,0.0952,0.7436,1.0,0.2564
nc_021,dropped_function_words,0.8605,0.8605,0.0,0.8335,0.8335,0.0
nc_022,dropped_function_words,0.7838,0.7838,0.0,0.6987,0.6987,0.0
nc_023,dropped_function_words,0.8571,0.8571,0.0,0.8291,0.8291,0.0
nc_024,dropped_function_words,0.8,0.8,0.0,0.763,0.763,0.0
nc_025,dropped_function_words,0.8864,0.8864,0.0,0.8374,0.8374,0.0
nc_026,number_format_noise,0.9524,0.9524,0.0,0.893,0.893,0.0
nc_027,number_format_noise,0.9706,0.9706,0.0,0.8913,0.8913,0.0
nc_028,number_format_noise,0.9111,0.9111,0.0,0.8411,0.8411,0.0
nc_029,number_format_noise,0.9318,0.9318,0.0,0.7908,0.7908,0.0
nc_030,number_format_noise,0.9032,0.9032,0.0,0.7677,0.7677,0.0
nc_031,mixed_noise,0.8814,0.8814,0.0,0.7073,0.7073,0.0
nc_032,mixed_noise,0.8776,0.8776,0.0,0.664,0.664,0.0
nc_033,mixed_noise,0.88,0.92,0.04,0.6448,0.7703,0.1255
nc_034,mixed_noise,0.8772,0.9649,0.0877,0.7285,0.9328,0.2043
nc_035,mixed_noise,0.7255,0.7451,0.0196,0.4618,0.5154,0.0536
nc_036,mixed_noise,0.88,0.9,0.02,0.8408,0.9139,0.0731
nc_037,mixed_noise,0.9412,0.9608,0.0196,0.8428,0.9134,0.0706
nc_038,mixed_noise,0.8723,0.8723,0.0,0.7507,0.7507,0.0
nc_039,mixed_noise,0.8871,0.9516,0.0645,0.7023,0.8726,0.1702
nc_040,mixed_noise,0.7937,0.7937,0.0,0.726,0.726,0.0
