id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
nc_001,missing_punctuation,0.9615,0.9615,0.0,0.9655,0.9655,0.0
nc_002,merged_words,0.9615,0.9615,0.0,0.8522,0.8522,0.0
nc_003,split_words,0.963,0.963,0.0,0.8802,0.8802,0.0
nc_004,spelling_variation,0.8462,0.8462,0.0,0.6534,0.6534,0.0
nc_005,dropped_function_words,0.6154,0.6154,0.0,0.6257,0.6257,0.0
nc_006,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_007,mixed_noise,0.8462,0.8462,0.0,0.7826,0.7826,0.0
nc_008,missing_punctuation,0.9615,0.9615,0.0,0.9655,0.9655,0.0
nc_009,merged_words,0.9615,0.9615,0.0,0.8522,0.8522,0.0
nc_010,split_words,0.963,0.963,0.0,0.9035,0.9035,0.0
nc_011,spelling_variation,1.0,1.0,0.0,1.0,1.0,0.0
nc_012,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_013,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_014,mixed_noise,0.9615,0.9615,0.0,0.9655,0.9655,0.0
nc_015,missing_punctuation,0.9714,0.9714,0.0,0.9752,0.9752,0.0
nc_016,merged_words,0.9714,0.9714,0.0,0.8947,0.8947,0.0
nc_017,split_words,0.9211,0.9211,0.0,0.7628,0.7628,0.0
nc_018,spelling_variation,0.9429,0.9429,0.0,0.7889,0.7889,0.0
nc_019,dropped_function_words,0.8,0.8,0.0,0.763,0.763,0.0
nc_020,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_021,mixed_noise,0.9429,0.9429,0.0,0.7833,0.7833,0.0
nc_022,missing_punctuation,0.9697,0.9697,0.0,0.9735,0.9735,0.0
nc_023,merged_words,0.9697,0.9697,0.0,0.8875,0.8875,0.0
nc_024,split_words,0.9706,0.9706,0.0,0.9087,0.9087,0.0
nc_025,spelling_variation,0.9394,0.9394,0.0,0.8649,0.8649,0.0
nc_026,dropped_function_words,0.8788,0.8788,0.0,0.856,0.856,0.0
nc_027,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_028,mixed_noise,0.9394,0.9394,0.0,0.8817,0.8817,0.0
nc_029,missing_punctuation,0.9773,0.9773,0.0,0.9806,0.9806,0.0
nc_030,merged_words,0.9773,0.9773,0.0,0.9182,0.9182,0.0
nc_031,split_words,0.9565,0.9565,0.0,0.8802,0.8802,0.0
nc_032,spelling_variation,0.9545,0.9545,0.0,0.8973,0.8973,0.0
nc_033,dropped_function_words,0.9091,0.9091,0.0,0.8787,0.8787,0.0
nc_034,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_035,mixed_noise,0.9778,0.9778,0.0,0.9335,0.9335,0.0
nc_036,missing_punctuation,0.973,0.973,0.0,0.9766,0.9766,0.0
nc_037,merged_words,0.973,0.973,0.0,0.9319,0.9319,0.0
nc_038,split_words,0.9487,0.9487,0.0,0.8401,0.8401,0.0
nc_039,spelling_variation,0.8378,0.8378,0.0,0.5953,0.5953,0.0
nc_040,dropped_function_words,0.7838,0.7838,0.0,0.6987,0.6987,0.0
nc_041,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_042,mixed_noise,0.7838,0.7838,0.0,0.6487,0.6487,0.0
nc_043,missing_punctuation,0.898,0.898,0.0,0.728,0.728,0.0
nc_044,merged_words,0.9796,0.9796,0.0,0.9273,0.9273,0.0
nc_045,split_words,0.98,0.98,0.0,0.9631,0.9631,0.0
nc_046,spelling_variation,0.9592,0.9592,0.0,0.8539,0.8539,0.0
nc_047,dropped_function_words,0.8776,0.8776,0.0,0.8177,0.8177,0.0
nc_048,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_049,mixed_noise,0.98,0.98,0.0,0.952,0.952,0.0
nc_050,missing_punctuation,0.9792,0.9792,0.0,0.9823,0.9823,0.0
nc_051,merged_words,0.9792,0.9792,0.0,0.9256,0.9256,0.0
nc_052,split_words,0.9796,0.9796,0.0,0.9394,0.9394,0.0
nc_053,spelling_variation,0.875,0.875,0.0,0.6741,0.6741,0.0
nc_054,dropped_function_words,0.8125,0.8125,0.0,0.7834,0.7834,0.0
nc_055,number_format_noise,0.9792,0.9792,0.0,0.9256,0.9256,0.0
nc_056,mixed_noise,0.8958,0.8958,0.0,0.7259,0.7259,0.0
nc_057,missing_punctuation,0.9762,0.9762,0.0,0.9796,0.9796,0.0
nc_058,merged_words,0.9524,0.9524,0.0,0.8674,0.8674,0.0
nc_059,split_words,0.9545,0.9545,0.0,0.8607,0.8607,0.0
nc_060,spelling_variation,0.9286,0.9286,0.0,0.8013,0.8013,0.0
nc_061,dropped_function_words,0.7619,0.7619,0.0,0.7077,0.7077,0.0
nc_062,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_063,mixed_noise,0.9048,0.9048,0.0,0.7187,0.7187,0.0
nc_064,missing_punctuation,0.975,0.975,0.0,0.9785,0.9785,0.0
nc_065,merged_words,0.975,0.975,0.0,0.9092,0.9092,0.0
nc_066,split_words,0.9756,0.9756,0.0,0.9262,0.9262,0.0
nc_067,spelling_variation,0.975,0.975,0.0,0.9092,0.9092,0.0
nc_068,dropped_function_words,0.825,0.825,0.0,0.7481,0.7481,0.0
nc_069,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_070,mixed_noise,0.95,0.95,0.0,0.9044,0.9044,0.0
nc_071,missing_punctuation,0.9545,0.9545,0.0,0.8983,0.8983,0.0
nc_072,merged_words,0.9773,0.9773,0.0,0.9182,0.9182,0.0
nc_073,split_words,0.9778,0.9778,0.0,0.9335,0.9335,0.0
nc_074,spelling_variation,0.9545,0.9545,0.0,0.8973,0.8973,0.0
nc_075,dropped_function_words,0.9091,0.9091,0.0,0.9212,0.9212,0.0
nc_076,number_format_noise,0.9545,0.9545,0.0,0.8485,0.8485,0.0
nc_077,mixed_noise,0.9318,0.9318,0.0,0.7908,0.7908,0.0
nc_078,missing_punctuation,0.9556,0.9556,0.0,0.9008,0.9008,0.0
nc_079,merged_words,0.9778,0.9778,0.0,0.9202,0.9202,0.0
nc_080,split_words,0.9375,0.9375,0.0,0.807,0.807,0.0
nc_081,spelling_variation,0.9556,0.9556,0.0,0.9404,0.9404,0.0
nc_082,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_083,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_084,mixed_noise,0.8667,0.8667,0.0,0.6863,0.6863,0.0
nc_085,missing_punctuation,0.9667,0.9667,0.0,0.9706,0.9706,0.0
nc_086,merged_words,0.9667,0.9667,0.0,0.8747,0.8747,0.0
nc_087,split_words,0.9677,0.9677,0.0,0.937,0.937,0.0
nc_088,spelling_variation,0.9333,0.9333,0.0,0.843,0.843,0.0
nc_089,dropped_function_words,0.8,0.8,0.0,0.7494,0.7494,0.0
nc_090,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_091,mixed_noise,0.7667,0.7667,0.0,0.6232,0.6232,0.0
nc_092,missing_punctuation,0.9855,0.9855,0.0,0.9495,0.9495,0.0
nc_093,merged_words,0.971,0.971,0.0,0.8987,0.8987,0.0
nc_094,split_words,0.9718,0.9718,0.0,0.9179,0.9179,0.0
nc_095,spelling_variation,0.971,0.971,0.0,0.9544,0.9544,0.0
nc_096,dropped_function_words,0.942,0.942,0.0,0.9253,0.9253,0.0
nc_097,number_format_noise,0.971,0.971,0.0,0.9373,0.9373,0.0
nc_098,mixed_noise,0.875,0.875,0.0,0.6941,0.6941,0.0
nc_099,missing_punctuation,0.9494,0.9494,0.0,0.8571,0.8571,0.0
nc_100,merged_words,0.962,0.962,0.0,0.868,0.868,0.0
nc_101,split_words,0.9634,0.9634,0.0,0.8934,0.8934,0.0
nc_102,spelling_variation,0.9747,0.9747,0.0,0.9208,0.9208,0.0
nc_103,dropped_function_words,0.9494,0.9494,0.0,0.9352,0.9352,0.0
nc_104,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_105,mixed_noise,0.8101,0.8101,0.0,0.7014,0.7014,0.0
nc_106,missing_punctuation,0.8226,0.8226,0.0,0.58,0.58,0.0
nc_107,merged_words,0.9677,0.9677,0.0,0.8866,0.8866,0.0
nc_108,split_words,0.9538,0.9538,0.0,0.8885,0.8885,0.0
nc_109,spelling_variation,0.8871,0.8871,0.0,0.7413,0.7413,0.0
nc_110,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_111,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_112,mixed_noise,0.9516,0.9516,0.0,0.8808,0.8808,0.0
nc_113,missing_punctuation,0.9367,0.9367,0.0,0.8124,0.8124,0.0
nc_114,merged_words,0.9747,0.9747,0.0,0.9122,0.9122,0.0
nc_115,split_words,0.9875,0.9875,0.0,0.9643,0.9643,0.0
nc_116,spelling_variation,0.9494,0.9494,0.0,0.8326,0.8326,0.0
nc_117,dropped_function_words,0.9494,0.9494,0.0,0.9352,0.9352,0.0
nc_118,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_119,mixed_noise,0.9114,0.9114,0.0,0.7293,0.7293,0.0
nc_120,missing_punctuation,0.9692,0.9692,0.0,0.8921,0.8921,0.0
nc_121,merged_words,0.9692,0.9692,0.0,0.8921,0.8921,0.0
nc_122,split_words,0.9701,0.9701,0.0,0.9126,0.9126,0.0
nc_123,spelling_variation,0.9692,0.9692,0.0,0.914,0.914,0.0
nc_124,dropped_function_words,0.9231,0.9231,0.0,0.8793,0.8793,0.0
nc_125,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_126,mixed_noise,0.9231,0.9231,0.0,0.8793,0.8793,0.0
nc_127,missing_punctuation,0.925,0.925,0.0,0.8648,0.8648,0.0
nc_128,merged_words,0.975,0.975,0.0,0.9374,0.9374,0.0
nc_129,split_words,0.9756,0.9756,0.0,0.9541,0.9541,0.0
nc_130,spelling_variation,0.95,0.95,0.0,0.8223,0.8223,0.0
nc_131,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_132,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_133,mixed_noise,0.875,0.875,0.0,0.6723,0.6723,0.0
nc_134,missing_punctuation,0.9688,0.9688,0.0,0.8903,0.8903,0.0
nc_135,merged_words,0.9688,0.9688,0.0,0.8988,0.8988,0.0
nc_136,split_words,0.9412,0.9412,0.0,0.84,0.84,0.0
nc_137,spelling_variation,0.9688,0.9688,0.0,0.9312,0.9312,0.0
nc_138,dropped_function_words,0.8906,0.8906,0.0,0.8498,0.8498,0.0
nc_139,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_140,mixed_noise,0.8281,0.8281,0.0,0.7707,0.7707,0.0
nc_141,missing_punctuation,0.9362,0.9362,0.0,0.8867,0.8867,0.0
nc_142,merged_words,0.9787,0.9787,0.0,0.9239,0.9239,0.0
nc_143,split_words,0.9792,0.9792,0.0,0.938,0.938,0.0
nc_144,spelling_variation,0.9149,0.9149,0.0,0.7478,0.7478,0.0
nc_145,dropped_function_words,0.9574,0.9574,0.0,0.9245,0.9245,0.0
nc_146,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_147,mixed_noise,0.9792,0.9792,0.0,0.938,0.938,0.0
