id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
nc_001,missing_punctuation,0.9615,1.0,0.0385,0.9655,1.0,0.0345
nc_002,missing_punctuation,0.9697,0.9697,0.0,0.9735,0.9671,-0.0064
nc_003,missing_punctuation,0.84,0.84,0.0,0.69,0.5934,-0.0966
nc_004,missing_punctuation,0.9,0.92,0.02,0.6931,0.7116,0.0185
nc_005,missing_punctuation,0.9773,1.0,0.0227,0.9806,1.0,0.0194
nc_006,merged_words,0.98,1.0,0.02,0.9288,1.0,0.0712
nc_007,merged_words,0.9677,0.9677,0.0,0.8984,0.8984,0.0
nc_008,merged_words,0.9535,0.9535,0.0,0.8315,0.8315,0.0
nc_009,merged_words,0.9574,0.9787,0.0213,0.8471,0.9239,0.0768
nc_010,merged_words,0.9487,0.9487,0.0,0.8172,0.8172,0.0
nc_011,split_words,0.9574,0.9574,0.0,0.8707,0.8707,0.0
nc_012,split_words,0.9302,0.9302,0.0,0.7856,0.7856,0.0
nc_013,split_words,0.9302,0.9302,0.0,0.7809,0.7809,0.0
nc_014,split_words,0.9318,0.9318,0.0,0.7867,0.7867,0.0
nc_015,split_words,0.9459,0.9459,0.0,0.83,0.83,0.0
nc_016,spelling_variation,0.9459,1.0,0.0541,0.8258,1.0,0.1742
nc_017,spelling_variation,0.925,1.0,0.075,0.7476,1.0,0.2524
nc_018,spelling_variation,0.9167,1.0,0.0833,0.8091,1.0,0.1909
nc_019,spelling_variation,0.8864,1.0,0.1136,0.7322,1.0,0.2678
nc_020,spelling_variation,0.9048,1.0,0.0952,0.7436,1.0,0.2564
nc_021,dropped_function_words,0.8605,0.8605,0.0,0.8335,0.8335,0.0
nc_022,dropped_function_words,0.7838,0.7838,0.0,0.6987,0.6987,0.0
nc_023,dropped_function_words,0.8571,0.8333,-0.0238,0.8291,0.7394,-0.0897
nc_024,dropped_function_words,0.8,0.8,0.0,0.763,0.763,0.0
nc_025,dropped_function_words,0.8864,0.8864,0.0,0.8374,0.8374,0.0
nc_026,number_format_noise,0.9524,0.9524,0.0,0.893,0.893,0.0
nc_027,number_format_noise,0.9706,0.9706,0.0,0.8913,0.8913,0.0
nc_028,number_format_noise,0.9111,0.9111,0.0,0.8411,0.8411,0.0
nc_029,number_format_noise,0.9318,0.9318,0.0,0.7908,0.7908,0.0
nc_030,number_format_noise,0.9032,0.9375,0.0343,0.7677,0.7982,0.0305
nc_031,mixed_noise,0.8814,0.8814,0.0,0.7073,0.7073,0.0
nc_032,mixed_noise,0.8776,0.8776,0.0,0.664,0.664,0.0
nc_033,mixed_noise,0.88,0.94,0.06,0.6448,0.7884,0.1436
nc_034,mixed_noise,0.8772,0.9825,0.1053,0.7285,0.9414,0.2129
nc_035,mixed_noise,0.7255,0.7647,0.0392,0.4618,0.5349,0.0731
nc_036,mixed_noise,0.88,0.92,0.04,0.8408,0.9314,0.0906
nc_037,mixed_noise,0.9412,0.9804,0.0392,0.8428,0.9303,0.0876
nc_038,mixed_noise,0.8723,0.8723,0.0,0.7507,0.7072,-0.0435
nc_039,mixed_noise,0.8871,0.9677,0.0806,0.7023,0.8866,0.1842
nc_040,mixed_noise,0.7937,0.8095,0.0159,0.726,0.7407,0.0147
