id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
nc_001,missing_punctuation,0.9615,1.0,0.0385,0.9655,1.0,0.0345
nc_002,missing_punctuation,0.9697,0.9697,0.0,0.9735,0.9671,-0.0064
nc_003,missing_punctuation,0.84,0.88,0.04,0.69,0.7296,0.0397
nc_004,missing_punctuation,0.9,0.92,0.02,0.6931,0.7116,0.0185
nc_005,missing_punctuation,0.9773,1.0,0.0227,0.9806,1.0,0.0194
nc_006,merged_words,0.98,1.0,0.02,0.9288,1.0,0.0712
nc_007,merged_words,0.9677,1.0,0.0323,0.8984,1.0,0.1016
nc_008,merged_words,0.9535,0.9302,-0.0233,0.8315,0.8963,0.0648
nc_009,merged_words,0.9574,0.9362,-0.0213,0.8471,0.9215,0.0744
nc_010,merged_words,0.9487,1.0,0.0513,0.8172,1.0,0.1828
nc_011,split_words,0.9574,0.9783,0.0208,0.8707,0.9351,0.0643
nc_012,split_words,0.9302,1.0,0.0698,0.7856,1.0,0.2144
nc_013,split_words,0.9302,0.9756,0.0454,0.7809,0.9262,0.1452
nc_014,split_words,0.9318,0.9762,0.0444,0.7867,0.9281,0.1414
nc_015,split_words,0.9459,0.9459,0.0,0.83,0.83,0.0
nc_016,spelling_variation,0.9459,1.0,0.0541,0.8258,1.0,0.1742
nc_017,spelling_variation,0.925,1.0,0.075,0.7476,1.0,0.2524
nc_018,spelling_variation,0.9167,1.0,0.0833,0.8091,1.0,0.1909
nc_019,spelling_variation,0.8864,1.0,0.1136,0.7322,1.0,0.2678
nc_020,spelling_variation,0.9048,1.0,0.0952,0.7436,1.0,0.2564
nc_021,dropped_function_words,0.8605,0.8605,0.0,0.8335,0.8335,0.0
nc_022,dropped_function_words,0.7838,0.7838,0.0,0.6987,0.6987,0.0
nc_023,dropped_function_words,0.8571,0.8571,0.0,0.8291,0.8291,0.0
nc_024,dropped_function_words,0.8,0.8,0.0,0.763,0.763,0.0
nc_025,dropped_function_words,0.8864,0.8864,0.0,0.8374,0.8374,0.0
nc_026,number_format_noise,0.9524,0.9762,0.0238,0.893,0.914,0.021
nc_027,number_format_noise,0.9706,1.0,0.0294,0.8913,1.0,0.1087
nc_028,number_format_noise,0.9111,0.9333,0.0222,0.8411,0.8409,-0.0003
nc_029,number_format_noise,0.9318,0.9318,0.0,0.7908,0.7908,0.0
nc_030,number_format_noise,0.9032,0.9375,0.0343,0.7677,0.7982,0.0305
nc_031,mixed_noise,0.8814,0.9153,0.0339,0.7073,0.7353,0.028
nc_032,mixed_noise,0.8776,0.9184,0.0408,0.664,0.7467,0.0827
nc_033,mixed_noise,0.88,0.96,0.08,0.6448,0.8608,0.2159
nc_034,mixed_noise,0.8772,1.0,0.1228,0.7285,1.0,0.2715
nc_035,mixed_noise,0.7255,0.7843,0.0588,0.4618,0.5724,0.1106
nc_036,mixed_noise,0.88,0.92,0.04,0.8408,0.9314,0.0906
nc_037,mixed_noise,0.9412,1.0,0.0588,0.8428,1.0,0.1572
nc_038,mixed_noise,0.8723,0.8936,0.0213,0.7507,0.7703,0.0196
nc_039,mixed_noise,0.8871,0.9355,0.0484,0.7023,0.8844,0.182
nc_040,mixed_noise,0.7937,0.8254,0.0317,0.726,0.7902,0.0642
